Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,Player_URL
W Jaffer (INDIA),2006-2006,2,2,0,10,10,5,23,43.47,0,0,1,http://stats.espncricinfo.com/ci/content/player/29646.html
Kabir Khan (PAK),1994-2000,10,5,4,10,5,10,25,40,0,0,0,http://stats.espncricinfo.com/ci/content/player/41026.html
AV Kale (INDIA),2003-2003,1,1,0,10,10,10,22,45.45,0,0,0,http://stats.espncricinfo.com/ci/content/player/29998.html
NJ MacRae (SCOT),2006-2006,2,2,0,10,8,5,36,27.77,0,0,0,http://stats.espncricinfo.com/ci/content/player/25129.html
CA Marshall (CAN),1979-1979,2,2,0,10,8,5,41,24.39,0,0,0,http://stats.espncricinfo.com/ci/content/player/23779.html
A Martin (WI),2011-2011,9,6,5,10,4*,10,29,34.48,0,0,0,http://stats.espncricinfo.com/ci/content/player/245373.html
BMW Patterson (SCOT),1999-1999,3,3,0,10,10,3.33,43,23.25,0,0,2,http://stats.espncricinfo.com/ci/content/player/25105.html
Shabbir Ahmed (PAK),1999-2005,32,11,5,10,2,1.66,29,34.48,0,0,0,http://stats.espncricinfo.com/ci/content/player/42632.html
Shariful Haque (BDESH),1998-1998,1,1,0,10,10,10,6,166.66,0,0,0,http://stats.espncricinfo.com/ci/content/player/56098.html
RAJ Smith (SCOT),2016-2016,2,1,0,10,10,10,6,166.66,0,0,0,http://stats.espncricinfo.com/ci/content/player/458897.html
TE Srinivasan (INDIA),1980-1981,2,2,0,10,6,5,35,28.57,0,0,0,http://stats.espncricinfo.com/ci/content/player/34109.html
MP Stead (CAN),1979-1979,2,2,0,10,10,5,45,22.22,0,0,1,http://stats.espncricinfo.com/ci/content/player/23792.html
GC Tonge (WI),2009-2009,5,4,2,10,5,5,16,62.5,0,0,0,http://stats.espncricinfo.com/ci/content/player/53153.html
MDJ Walker (NZ),2003-2003,3,1,0,10,10,10,6,166.66,0,0,0,http://stats.espncricinfo.com/ci/content/player/38760.html
WA Wisneski (NZ),2000-2000,3,2,1,10,6,10,17,58.82,0,0,0,http://stats.espncricinfo.com/ci/content/player/38755.html
AK Zesers (AUS),1987-1987,2,2,2,10,8*,-,14,71.42,0,0,0,http://stats.espncricinfo.com/ci/content/player/8466.html
KK Ahmed (INDIA),2018-2019,11,3,1,9,5,4.5,17,52.94,0,0,0,http://stats.espncricinfo.com/ci/content/player/942645.html
MJ Bennett (AUS),1984-1985,8,4,1,9,6*,3,21,42.85,0,0,2,http://stats.espncricinfo.com/ci/content/player/4127.html
SM Boland (AUS),2016-2016,14,4,1,9,4,3,22,40.9,0,0,1,http://stats.espncricinfo.com/ci/content/player/446548.html
CE Bulfin (NZ),1999-1999,4,2,1,9,7*,9,8,112.5,0,0,0,http://stats.espncricinfo.com/ci/content/player/36312.html
SJ Cameron (SCOT),2018-2018,2,2,1,9,8*,9,13,69.23,0,0,0,http://stats.espncricinfo.com/ci/content/player/873205.html
SJ Chalmers (SCOT),2009-2009,2,1,1,9,9*,-,14,64.28,0,0,0,http://stats.espncricinfo.com/ci/content/player/412321.html
NA David (INDIA),1997-1997,4,2,2,9,8*,-,10,90,0,0,0,http://stats.espncricinfo.com/ci/content/player/28149.html
GN de Silva (SL),1983-1985,4,2,1,9,7,9,18,50,0,0,0,http://stats.espncricinfo.com/ci/content/player/48457.html
GRA de Silva (SL),1975-1982,6,4,2,9,6*,4.5,33,27.27,0,0,1,http://stats.espncricinfo.com/ci/content/player/48458.html
DR Doshi (INDIA),1980-1982,15,5,2,9,5*,3,20,45,0,0,2,http://stats.espncricinfo.com/ci/content/player/28107.html
CJ Drum (NZ),1999-1999,5,2,2,9,7*,-,22,40.9,0,0,0,http://stats.espncricinfo.com/ci/content/player/36839.html
S Dube (INDIA),2019-2019,1,1,0,9,9,9,6,150,0,0,0,http://stats.espncricinfo.com/ci/content/player/714451.html
Fahad Usman (UAE),2004-2004,2,2,0,9,9,4.5,18,50,0,0,1,http://stats.espncricinfo.com/ci/content/player/40104.html
Faisal Athar (PAK),2003-2003,1,1,0,9,9,9,38,23.68,0,0,0,http://stats.espncricinfo.com/ci/content/player/40113.html
SP Gauchan (NEPAL),2018-2018,1,1,1,9,9*,-,44,20.45,0,0,0,http://stats.espncricinfo.com/ci/content/player/25964.html
MJ Haslam (NZ),1992-1992,1,1,0,9,9,9,18,50,0,0,0,http://stats.espncricinfo.com/ci/content/player/37241.html
AG Huckle (ZIM),1997-1999,19,8,4,9,5*,2.25,16,56.25,0,0,3,http://stats.espncricinfo.com/ci/content/player/55502.html
HR Johnson (USA),2004-2004,2,2,1,9,9,9,20,45,0,0,0,http://stats.espncricinfo.com/ci/content/player/25875.html
Karim Janat (AFG),2017-2017,1,1,0,9,9,9,33,27.27,0,0,0,http://stats.espncricinfo.com/ci/content/player/793467.html
JB Little (IRE),2019-2019,4,2,0,9,9,4.5,8,112.5,0,0,1,http://stats.espncricinfo.com/ci/content/player/928067.html
DE Malcolm (ENG),1990-1994,10,5,2,9,4,3,11,81.81,0,0,1,http://stats.espncricinfo.com/ci/content/player/16885.html
Mohammad Salim (BDESH),2003-2003,1,1,0,9,9,9,24,37.5,0,0,0,http://stats.espncricinfo.com/ci/content/player/55982.html
PG Nana (EAf),1975-1975,3,3,2,9,8*,9,45,20,0,0,1,http://stats.espncricinfo.com/ci/content/player/23965.html
Naveen-ul-Haq (AFG),2016-2019,4,3,2,9,8*,9,21,42.85,0,0,0,http://stats.espncricinfo.com/ci/content/player/793447.html
Qadeer Ahmed (UAE),2015-2019,11,6,4,9,4,4.5,31,29.03,0,0,0,http://stats.espncricinfo.com/ci/content/player/941959.html
LS Rajput (INDIA),1985-1987,4,4,1,9,8,3,31,29.03,0,0,2,http://stats.espncricinfo.com/ci/content/player/33034.html
Rashid Zia (USA),2004-2004,2,2,0,9,8,4.5,57,15.78,0,0,0,http://stats.espncricinfo.com/ci/content/player/25860.html
BM Scholtz (NAM),2019-2020,8,4,2,9,6,4.5,32,28.12,0,0,0,http://stats.espncricinfo.com/ci/content/player/330223.html
JA Snow (ENG),1971-1975,9,4,2,9,5*,4.5,41,21.95,0,0,0,http://stats.espncricinfo.com/ci/content/player/20282.html
OP Stone (ENG),2018-2018,4,1,1,9,9*,-,7,128.57,0,0,0,http://stats.espncricinfo.com/ci/content/player/457279.html
GP Sulzberger (NZ),2000-2000,3,2,1,9,6*,9,15,60,0,0,0,http://stats.espncricinfo.com/ci/content/player/38411.html
AJ Tudor (ENG),2002-2002,3,2,1,9,6,9,11,81.81,0,0,0,http://stats.espncricinfo.com/ci/content/player/21607.html
VB van Jaarsveld (SA),2009-2009,2,2,0,9,5,4.5,15,60,0,0,0,http://stats.espncricinfo.com/ci/content/player/47846.html
Zahid Hussain (CAN),2011-2011,2,2,1,9,7*,9,31,29.03,0,0,0,http://stats.espncricinfo.com/ci/content/player/43726.html
VR Aaron (INDIA),2011-2014,9,3,2,8,6*,8,15,53.33,0,0,1,http://stats.espncricinfo.com/ci/content/player/360911.html
Asif Iqbal (1) (UAE),2015-2015,1,1,0,8,8,8,8,100,0,0,0,http://stats.espncricinfo.com/ci/content/player/39898.html
RA Austin (WI),1978-1978,1,1,0,8,8,8,13,61.53,0,0,0,http://stats.espncricinfo.com/ci/content/player/51113.html
BS Browne (WI),1994-1994,4,3,2,8,8*,8,24,33.33,0,0,1,http://stats.espncricinfo.com/ci/content/player/51278.html
CJ Dala (SA),2018-2018,2,2,1,8,5,8,6,133.33,0,0,0,http://stats.espncricinfo.com/ci/content/player/545467.html
H Davids (SA),2013-2013,2,2,0,8,7,4,24,33.33,0,0,0,http://stats.espncricinfo.com/ci/content/player/44752.html
PA Desai (CAN),2010-2014,13,8,5,8,3*,2.66,55,14.54,0,0,2,http://stats.espncricinfo.com/ci/content/player/440977.html
R Dhanraj (WI),1994-1995,6,2,1,8,8,8,32,25,0,0,0,http://stats.espncricinfo.com/ci/content/player/51649.html
P Dharmani (INDIA),1996-1996,1,1,0,8,8,8,8,100,0,0,0,http://stats.espncricinfo.com/ci/content/player/28067.html
TL Fernando (SL),1989-1989,1,1,0,8,8,8,6,133.33,0,0,0,http://stats.espncricinfo.com/ci/content/player/48808.html
JC Gamage (SL),1995-1995,4,2,2,8,7*,-,9,88.88,0,0,0,http://stats.espncricinfo.com/ci/content/player/48995.html
Gholam Nousher (BDESH),1986-1990,9,3,2,8,4,8,16,50,0,0,0,http://stats.espncricinfo.com/ci/content/player/55898.html
Hafizur Rahman (BDESH),1986-1986,2,1,0,8,8,8,24,33.33,0,0,0,http://stats.espncricinfo.com/ci/content/player/55907.html
ND Hirwani (INDIA),1988-1992,18,7,3,8,4,2,29,27.58,0,0,2,http://stats.espncricinfo.com/ci/content/player/29299.html
KH Butt (HKG),2008-2008,2,2,0,8,4,4,28,28.57,0,0,0,http://stats.espncricinfo.com/ci/content/player/24212.html
ACI Lock (ZIM),1996-1996,8,3,2,8,5,8,20,40,0,0,0,http://stats.espncricinfo.com/ci/content/player/55560.html
MA Lynch (ENG),1988-1988,3,3,0,8,6,2.66,32,25,0,0,1,http://stats.espncricinfo.com/ci/content/player/16378.html
CS Martin (NZ),2001-2008,20,7,2,8,3,1.6,27,29.62,0,0,2,http://stats.espncricinfo.com/ci/content/player/37700.html
EZ Matambanadzo (ZIM),1996-1997,7,5,3,8,5*,4,33,24.24,0,0,1,http://stats.espncricinfo.com/ci/content/player/55582.html
MG Neser (AUS),2018-2018,2,2,0,8,6,4,16,50,0,0,0,http://stats.espncricinfo.com/ci/content/player/376169.html
A Nortje (SA),2019-2019,4,1,0,8,8,8,18,44.44,0,0,0,http://stats.espncricinfo.com/ci/content/player/481979.html
PDRL Perera (SL),1999-2007,19,7,2,8,4*,1.6,18,44.44,0,0,4,http://stats.espncricinfo.com/ci/content/player/49870.html
Rahat Ali (PAK),2012-2016,14,7,4,8,6*,2.66,37,21.62,0,0,2,http://stats.espncricinfo.com/ci/content/player/323244.html
SS Raul (INDIA),1998-1998,2,2,0,8,8,4,14,57.14,0,0,1,http://stats.espncricinfo.com/ci/content/player/33129.html
CA Reid (USA),2004-2004,2,2,0,8,6,4,17,47.05,0,0,0,http://stats.espncricinfo.com/ci/content/player/25872.html
RL Sanghvi (INDIA),1998-1998,10,2,0,8,8,4,11,72.72,0,0,1,http://stats.espncricinfo.com/ci/content/player/34214.html
VRV Singh (INDIA),2006-2006,2,1,0,8,8,8,13,61.53,0,0,0,http://stats.espncricinfo.com/ci/content/player/35281.html
Sohail Butt (UAE),1994-1994,2,2,1,8,6*,8,14,57.14,0,0,0,http://stats.espncricinfo.com/ci/content/player/25546.html
DS Steele (ENG),1976-1976,1,1,0,8,8,8,12,66.66,0,0,0,http://stats.espncricinfo.com/ci/content/player/20345.html
DM Vonhagt (SL),1985-1985,1,1,0,8,8,8,17,47.05,0,0,0,http://stats.espncricinfo.com/ci/content/player/50807.html
HS Williams (SA),1999-2000,7,2,1,8,7,8,11,72.72,0,0,0,http://stats.espncricinfo.com/ci/content/player/47900.html
NP Kenjige (USA),2019-2019,4,2,2,7,6*,-,3,233.33,0,0,0,http://stats.espncricinfo.com/ci/content/player/1041679.html
RW Ali (KENYA),1996-1997,9,3,3,7,6*,-,28,25,0,0,0,http://stats.espncricinfo.com/ci/content/player/24687.html
J Cameron-Dow (IRE),2019-2019,4,1,1,7,7*,-,10,70,0,0,0,http://stats.espncricinfo.com/ci/content/player/380957.html
KG Duers (ZIM),1992-1992,6,2,1,7,5,7,20,35,0,0,0,http://stats.espncricinfo.com/ci/content/player/55382.html
Fazl-e-Akbar (PAK),1998-2001,2,1,0,7,7,7,8,87.5,0,0,0,http://stats.espncricinfo.com/ci/content/player/40094.html
WCA Ganegama (SL),2001-2006,4,2,0,7,7,3.5,9,77.77,0,0,1,http://stats.espncricinfo.com/ci/content/player/49008.html
DM Gondaria (KENYA),2013-2013,2,2,0,7,6,3.5,45,15.55,0,0,0,http://stats.espncricinfo.com/ci/content/player/529349.html
JOA Gordon (CAN),2012-2014,5,4,2,7,4,3.5,28,25,0,0,0,http://stats.espncricinfo.com/ci/content/player/276370.html
VR Hogg (ZIM),1983-1983,2,1,1,7,7*,-,19,36.84,0,0,0,http://stats.espncricinfo.com/ci/content/player/55493.html
AG Hurst (AUS),1975-1979,8,4,4,7,3*,-,19,36.84,0,0,0,http://stats.espncricinfo.com/ci/content/player/5732.html
Izatullah Dawlatzai (AFG),2010-2015,5,3,1,7,6*,3.5,27,25.92,0,0,1,http://stats.espncricinfo.com/ci/content/player/402247.html
SD Jack (SA),1994-1995,2,2,0,7,6,3.5,8,87.5,0,0,0,http://stats.espncricinfo.com/ci/content/player/45711.html
Jahangir Alam Talukdar (BDESH),1990-1990,2,1,1,7,7*,-,16,43.75,0,0,0,http://stats.espncricinfo.com/ci/content/player/55937.html
MKGCP Lakshitha (SL),2002-2003,7,2,1,7,4,7,12,58.33,0,0,0,http://stats.espncricinfo.com/ci/content/player/49598.html
Liaqat Ali (PAK),1977-1978,3,1,0,7,7,7,31,22.58,0,0,0,http://stats.espncricinfo.com/ci/content/player/41246.html
DSK Madushanka (SL),2018-2018,1,1,0,7,7,7,6,116.66,0,0,0,http://stats.espncricinfo.com/ci/content/player/1043681.html
GA Manou (AUS),2009-2009,4,1,0,7,7,7,6,116.66,0,0,0,http://stats.espncricinfo.com/ci/content/player/6480.html
PL Mhambrey (INDIA),1996-1998,3,1,1,7,7*,-,5,140,0,0,0,http://stats.espncricinfo.com/ci/content/player/30999.html
EA Moseley (WI),1990-1991,9,6,2,7,2*,1.75,15,46.66,0,0,2,http://stats.espncricinfo.com/ci/content/player/52437.html
JK Moss (AUS),1979-1979,1,1,0,7,7,7,16,43.75,0,0,0,http://stats.espncricinfo.com/ci/content/player/6654.html
Nazmul Islam (BDESH),2018-2018,5,1,0,7,7,7,13,53.84,0,0,0,http://stats.espncricinfo.com/ci/content/player/446810.html
M Pushpakumara (SL),2009-2010,3,1,1,7,7*,-,19,36.84,0,0,0,http://stats.espncricinfo.com/ci/content/player/49868.html
RA Reifer (WI),2019-2019,2,1,0,7,7,7,12,58.33,0,0,0,http://stats.espncricinfo.com/ci/content/player/450101.html
IDK Salisbury (ENG),1993-1994,4,2,1,7,5,7,12,58.33,0,0,0,http://stats.espncricinfo.com/ci/content/player/20051.html
K Shuttleworth (ENG),1971-1971,1,1,0,7,7,7,19,36.84,0,0,0,http://stats.espncricinfo.com/ci/content/player/20182.html
EHSN Silva (UAE),2008-2008,1,1,0,7,7,7,13,53.84,0,0,0,http://stats.espncricinfo.com/ci/content/player/50460.html
NA Statham (NL),2003-2009,3,3,0,7,7,2.33,50,14,0,0,2,http://stats.espncricinfo.com/ci/content/player/24956.html
RJW Topley (ENG),2015-2016,10,5,4,7,6,7,40,17.5,0,0,0,http://stats.espncricinfo.com/ci/content/player/461632.html
RF van Oosterom (NL),1996-2002,3,3,2,7,5*,7,27,25.92,0,0,1,http://stats.espncricinfo.com/ci/content/player/24975.html
SG Whittingham (SCOT),2017-2019,5,4,2,7,3*,3.5,17,41.17,0,0,0,http://stats.espncricinfo.com/ci/content/player/627732.html
T Yohannan (INDIA),2002-2002,3,2,2,7,5*,-,11,63.63,0,0,0,http://stats.espncricinfo.com/ci/content/player/36080.html
MKDI Amerasinghe (SL),2007-2008,8,4,4,6,5*,-,9,66.66,0,0,0,http://stats.espncricinfo.com/ci/content/player/48139.html
Bhupinder Singh snr (INDIA),1994-1994,2,1,0,6,6,6,13,46.15,0,0,0,http://stats.espncricinfo.com/ci/content/player/26942.html
IW Callen (AUS),1978-1982,5,3,2,6,3*,6,13,46.15,0,0,1,http://stats.espncricinfo.com/ci/content/player/4517.html
GD Campbell (AUS),1989-1990,12,3,1,6,4*,3,19,31.57,0,0,1,http://stats.espncricinfo.com/ci/content/player/4523.html
U Chatterjee (INDIA),1995-1995,3,2,1,6,3*,6,30,20,0,0,0,http://stats.espncricinfo.com/ci/content/player/27603.html
MT Chinouya (ZIM),2013-2013,2,2,1,6,6*,6,8,75,0,0,1,http://stats.espncricinfo.com/ci/content/player/55353.html
WP Diepeveen (NL),2011-2011,1,1,0,6,6,6,7,85.71,0,0,0,http://stats.espncricinfo.com/ci/content/player/420341.html
SO Dowrich (WI),2019-2019,1,1,0,6,6,6,8,75,0,0,0,http://stats.espncricinfo.com/ci/content/player/431905.html
CE Eksteen (SA),1991-1994,6,2,2,6,6*,-,25,24,0,0,0,http://stats.espncricinfo.com/ci/content/player/44954.html
Fahim Muntasir (BDESH),2001-2002,3,3,1,6,5,3,17,35.29,0,0,1,http://stats.espncricinfo.com/ci/content/player/55887.html
AP Grayson (ENG),2000-2001,2,2,0,6,6,3,13,46.15,0,0,1,http://stats.espncricinfo.com/ci/content/player/13437.html
Harilal Shah (EAf),1975-1975,3,3,0,6,6,2,56,10.71,0,0,2,http://stats.espncricinfo.com/ci/content/player/23952.html
Harvinder Singh (INDIA),1997-2001,16,5,1,6,3*,1.5,19,31.57,0,0,1,http://stats.espncricinfo.com/ci/content/player/29280.html
M Hendrick (ENG),1973-1981,22,10,5,6,2*,1.2,22,27.27,0,0,3,http://stats.espncricinfo.com/ci/content/player/14159.html
CC Henry (CAN),1979-1979,2,2,1,6,5,6,14,42.85,0,0,0,http://stats.espncricinfo.com/ci/content/player/23773.html
P Krishnamurthy (INDIA),1976-1976,1,1,0,6,6,6,13,46.15,0,0,0,http://stats.espncricinfo.com/ci/content/player/30135.html
MJ North (AUS),2009-2009,2,2,0,6,5,3,19,31.57,0,0,0,http://stats.espncricinfo.com/ci/content/player/6943.html
LN Oluoch (KENYA),2011-2011,2,2,1,6,5*,6,6,100,0,0,0,http://stats.espncricinfo.com/ci/content/player/440162.html
AK Patel (INDIA),1984-1985,8,2,0,6,6,3,11,54.54,0,0,1,http://stats.espncricinfo.com/ci/content/player/32226.html
DB Rundle (SA),1994-1994,2,2,0,6,6,3,11,54.54,0,0,1,http://stats.espncricinfo.com/ci/content/player/47010.html
Usman Shinwari (PAK),2017-2019,17,4,1,6,6,2,7,85.71,0,0,2,http://stats.espncricinfo.com/ci/content/player/697279.html
RJ Webb (NZ),1983-1983,3,1,1,6,6*,-,10,60,0,0,0,http://stats.espncricinfo.com/ci/content/player/38746.html
DJ Worrall (AUS),2016-2016,3,1,1,6,6*,-,4,150,0,0,0,http://stats.espncricinfo.com/ci/content/player/557298.html
Aijaz Ali (USA),2004-2004,2,2,0,5,4,2.5,11,45.45,0,0,0,http://stats.espncricinfo.com/ci/content/player/25661.html
RT Crandon (WI),2009-2009,1,1,0,5,5,5,9,55.55,0,0,0,http://stats.espncricinfo.com/ci/content/player/275943.html
N Fernandes (UAE),2008-2008,1,1,0,5,5,5,13,38.46,0,0,0,http://stats.espncricinfo.com/ci/content/player/334946.html
R Illingworth (ENG),1971-1973,3,2,0,5,4,2.5,18,27.77,0,0,0,http://stats.espncricinfo.com/ci/content/player/15385.html
Jalal-ud-Din (PAK),1982-1983,8,2,0,5,5,2.5,5,100,0,0,1,http://stats.espncricinfo.com/ci/content/player/40872.html
Jubair Hossain (BDESH),2014-2015,3,1,0,5,5,5,9,55.55,0,0,0,http://stats.espncricinfo.com/ci/content/player/629066.html
Junaid Siddique (UAE),2019-2020,6,4,3,5,2*,5,17,29.41,0,0,0,http://stats.espncricinfo.com/ci/content/player/1203754.html
Khalid Khan (HKG),2004-2004,2,2,0,5,3,2.5,8,62.5,0,0,0,http://stats.espncricinfo.com/ci/content/player/24229.html
H McLeod (EAf),1975-1975,2,2,0,5,5,2.5,10,50,0,0,1,http://stats.espncricinfo.com/ci/content/player/23960.html
Mansoor Amjad (PAK),2008-2008,1,1,0,5,5,5,10,50,0,0,0,http://stats.espncricinfo.com/ci/content/player/41963.html
Maqsood Rana (PAK),1990-1990,1,1,0,5,5,5,13,38.46,0,0,0,http://stats.espncricinfo.com/ci/content/player/41272.html
Najeeb Tarakai (AFG),2017-2017,1,1,0,5,5,5,18,27.77,0,0,0,http://stats.espncricinfo.com/ci/content/player/533953.html
Naumanullah (PAK),2008-2008,1,1,0,5,5,5,4,125,0,0,0,http://stats.espncricinfo.com/ci/content/player/42059.html
Neeyamur Rashid (BDESH),1999-1999,2,2,1,5,4*,5,5,100,0,0,0,http://stats.espncricinfo.com/ci/content/player/56044.html
DJ Pringle (EAf),1975-1975,2,2,0,5,3,2.5,15,33.33,0,0,0,http://stats.espncricinfo.com/ci/content/player/23969.html
LN Rajbanshi (NEPAL),2019-2019,3,2,2,5,3*,-,20,25,0,0,0,http://stats.espncricinfo.com/ci/content/player/913853.html
D Ramnarine (WI),1997-2001,4,3,0,5,2,1.66,13,38.46,0,0,0,http://stats.espncricinfo.com/ci/content/player/52805.html
Sajjad Akbar (PAK),1990-1990,2,1,0,5,5,5,9,55.55,0,0,0,http://stats.espncricinfo.com/ci/content/player/42612.html
L Sivaramakrishnan (INDIA),1985-1987,16,4,2,5,2*,2.5,24,20.83,0,0,0,http://stats.espncricinfo.com/ci/content/player/34074.html
G Snyman (NAM),2003-2003,5,4,0,5,5,1.25,9,55.55,0,0,3,http://stats.espncricinfo.com/ci/content/player/24827.html
Talha Jubair (BDESH),2002-2003,6,5,3,5,4*,2.5,15,33.33,0,0,2,http://stats.espncricinfo.com/ci/content/player/56180.html
Tanbir Hayder (BDESH),2016-2016,2,2,0,5,3,2.5,16,31.25,0,0,0,http://stats.espncricinfo.com/ci/content/player/421892.html
DJ Terbrugge (SA),2000-2000,4,2,1,5,5,5,14,35.71,0,0,0,http://stats.espncricinfo.com/ci/content/player/47541.html
RK Whelan (IRE),2007-2007,2,2,0,5,5,2.5,12,41.66,0,0,1,http://stats.espncricinfo.com/ci/content/player/245186.html
Zawar Farid (UAE),2020-2020,1,1,0,5,5,5,15,33.33,0,0,0,http://stats.espncricinfo.com/ci/content/player/1196500.html
Al-Amin Hossain (BDESH),2014-2015,14,7,5,4,2*,2,20,20,0,0,2,http://stats.espncricinfo.com/ci/content/player/511532.html
LS Bhandari (NEPAL),2018-2018,1,1,1,4,4*,-,9,44.44,0,0,0,http://stats.espncricinfo.com/ci/content/player/701201.html
MI Black (WI),2001-2001,5,2,0,4,4,2,14,28.57,0,0,1,http://stats.espncricinfo.com/ci/content/player/51228.html
PS Eaglestone (IRE),2008-2008,1,1,0,4,4,4,3,133.33,0,0,0,http://stats.espncricinfo.com/ci/content/player/12794.html
Fawad Ahmed (AUS),2013-2013,3,1,1,4,4*,-,2,200,0,0,0,http://stats.espncricinfo.com/ci/content/player/240609.html
PJ Franks (ENG),2000-2000,1,1,0,4,4,4,17,23.52,0,0,0,http://stats.espncricinfo.com/ci/content/player/12906.html
PLS Gamage (SL),2014-2017,9,5,3,4,3,2,27,14.81,0,0,0,http://stats.espncricinfo.com/ci/content/player/268845.html
D Ganesh (INDIA),1997-1997,1,1,0,4,4,4,8,50,0,0,0,http://stats.espncricinfo.com/ci/content/player/28774.html
WT Gavera (PNG),2014-2017,4,1,1,4,4*,-,6,66.66,0,0,0,http://stats.espncricinfo.com/ci/content/player/302850.html
Z Groenewald (NAM),2019-2019,4,2,1,4,3,4,19,21.05,0,0,0,http://stats.espncricinfo.com/ci/content/player/446860.html
Gursharan Singh (INDIA),1990-1990,1,1,0,4,4,4,10,40,0,0,0,http://stats.espncricinfo.com/ci/content/player/28884.html
SD Heazlett (AUS),2017-2017,1,1,0,4,4,4,11,36.36,0,0,0,http://stats.espncricinfo.com/ci/content/player/826679.html
Jahangir Alam (BDESH),1997-1999,3,3,0,4,3,1.33,22,18.18,0,0,1,http://stats.espncricinfo.com/ci/content/player/55932.html
ML Lewis (AUS),2005-2006,7,1,1,4,4*,-,4,100,0,0,0,http://stats.espncricinfo.com/ci/content/player/6291.html
CH Lonsdale (BMUDA),2007-2007,1,1,0,4,4,4,28,14.28,0,0,0,http://stats.espncricinfo.com/ci/content/player/307528.html
Mohammad Nazir (PAK),1980-1984,4,3,3,4,2*,-,16,25,0,0,0,http://stats.espncricinfo.com/ci/content/player/41294.html
GK Pandey (INDIA),1999-1999,2,2,1,4,4*,4,11,36.36,0,0,1,http://stats.espncricinfo.com/ci/content/player/32168.html
PI Pocock (ENG),1985-1985,1,1,0,4,4,4,9,44.44,0,0,0,http://stats.espncricinfo.com/ci/content/player/18557.html
LN Roche (ZIM),2018-2018,3,2,0,4,4,2,10,40,0,0,1,http://stats.espncricinfo.com/ci/content/player/596002.html
AM Salvi (INDIA),2003-2003,4,3,1,4,4*,2,14,28.57,0,0,2,http://stats.espncricinfo.com/ci/content/player/34264.html
Samiur Rahman (BDESH),1986-1986,2,2,0,4,4,2,7,57.14,0,0,1,http://stats.espncricinfo.com/ci/content/player/56097.html
BB Seebaran (CAN),2003-2003,4,3,2,4,4*,4,13,30.76,0,0,1,http://stats.espncricinfo.com/ci/content/player/23785.html
Shahzad Khan (CAN),2007-2007,1,1,0,4,4,4,12,33.33,0,0,0,http://stats.espncricinfo.com/ci/content/player/299814.html
B Stanlake (AUS),2017-2019,7,5,2,4,2,1.33,28,14.28,0,0,1,http://stats.espncricinfo.com/ci/content/player/533042.html
RW Staple (USA),2004-2004,2,2,0,4,4,2,11,36.36,0,0,1,http://stats.espncricinfo.com/ci/content/player/25643.html
PJR Steyn (SA),1995-1995,1,1,0,4,4,4,14,28.57,0,0,0,http://stats.espncricinfo.com/ci/content/player/47242.html
R Sudhakar Rao (INDIA),1976-1976,1,1,0,4,4,4,14,28.57,0,0,0,http://stats.espncricinfo.com/ci/content/player/34136.html
S Sumar (EAf),1975-1975,1,1,0,4,4,4,11,36.36,0,0,0,http://stats.espncricinfo.com/ci/content/player/23974.html
Tanveer Ahmed (HKG),2016-2018,6,4,4,4,2*,-,11,36.36,0,0,0,http://stats.espncricinfo.com/ci/content/player/919549.html
VAB Tewarie (NL),2011-2011,1,1,0,4,4,4,22,18.18,0,0,0,http://stats.espncricinfo.com/ci/content/player/414985.html
GS Trimble (AUS),1986-1986,2,2,1,4,4,4,5,80,0,0,0,http://stats.espncricinfo.com/ci/content/player/7970.html
T van der Gugten (NL),2012-2013,4,2,0,4,2,2,6,66.66,0,0,0,http://stats.espncricinfo.com/ci/content/player/333782.html
S Vesawkar (NEPAL),2018-2018,1,1,0,4,4,4,15,26.66,0,0,0,http://stats.espncricinfo.com/ci/content/player/25977.html
SL Watkin (ENG),1994-1994,4,2,0,4,4,2,23,17.39,0,0,1,http://stats.espncricinfo.com/ci/content/player/22333.html
UWMBCA Welegedara (SL),2009-2010,10,3,2,4,2*,4,9,44.44,0,0,0,http://stats.espncricinfo.com/ci/content/player/51019.html
RPAH Wickramaratne (SL),1993-1993,3,2,0,4,3,2,6,66.66,0,0,0,http://stats.espncricinfo.com/ci/content/player/50846.html
P Wilson (AUS),1997-1998,11,5,2,4,2,1.33,13,30.76,0,0,2,http://stats.espncricinfo.com/ci/content/player/8241.html
M Zondeki (Afr/SA),2002-2008,13,3,2,4,3*,4,5,80,0,0,1,http://stats.espncricinfo.com/ci/content/player/48112.html
SA Abbott (AUS),2014-2014,1,1,0,3,3,3,7,42.85,0,0,0,http://stats.espncricinfo.com/ci/content/player/398666.html
Abdullah Mazari (AFG),2010-2010,2,1,0,3,3,3,16,18.75,0,0,0,http://stats.espncricinfo.com/ci/content/player/390752.html
Ali Khan (USA),2019-2019,1,1,0,3,3,3,11,27.27,0,0,0,http://stats.espncricinfo.com/ci/content/player/927119.html
CR Amini (PNG),2014-2014,2,1,1,3,3*,-,3,100,0,0,0,http://stats.espncricinfo.com/ci/content/player/25053.html
RA Bhatti (CAN),2011-2011,1,1,1,3,3*,-,4,75,0,0,0,http://stats.espncricinfo.com/ci/content/player/307077.html
JWHD Boteju (SL),1999-1999,2,2,1,3,2,3,11,27.27,0,0,0,http://stats.espncricinfo.com/ci/content/player/48290.html
